Step,Replicate ,FE_cat,time_p_fish_s
create_fe,1,C2,4.772727273
create_fe,2,C2,NA
create_fe,3,C2,3.75
create_fe,4,C2,5
create_fe,5,C2,3.375
create_fe,6,C2,5.536585366
create_fe,7,C2,3.125
create_fe,8,C2,5.911111111
create_fe,9,C2,5.113636364
create_fe,10,C4,10.5
create_fe,11,C4,6.740740741
create_fe,12,C4,15.35714286
create_fe,13,C4,10.85
create_fe,14,C4,10.10526316
create_fe,15,C4,14.375
create_fe,16,C4,9.333333333
label_tubes,1,C2,12.27272727
label_tubes,2,C2,NA
label_tubes,3,C2,11.25
label_tubes,4,C2,5
label_tubes,5,C2,12.91666667
label_tubes,6,C2,12.375
label_tubes,7,C2,19.31578947
label_tubes,8,C2,15.63636364
label_tubes,9,C2,12.25
label_tubes,10,C2,10.04166667
label_tubes,11,C2,11.875
label_tubes,12,C2,13.52380952
label_tubes,13,C2,13.25
label_tubes,14,C2,12.54166667
label_tubes,15,C4,29.5
label_tubes,16,C4,24.76923077
label_tubes,17,C4,25.35714286
label_tubes,18,C4,39.33333333
label_tubes,19,C4,52.25
label_tubes,20,C4,36.4
label_tubes,21,C4,35.6
label_tubes,22,C4,50
label_tubes,23,C4,48.3
label_tubes,24,C4,47
label_tubes,25,C4,46
label_tubes,26,C4,38.66666667
label_tubes,27,C4,42.26666667
prep_excel_fe_worksheet,1,C2,2.727272727
prep_excel_fe_worksheet,2,C2,NA
prep_excel_fe_worksheet,3,C2,tnr
prep_excel_fe_worksheet,4,C2,4.166666667
prep_excel_fe_worksheet,5,C2,NA
prep_excel_fe_worksheet,6,C2,1.780487805
prep_excel_fe_worksheet,7,C2,NA
prep_excel_fe_worksheet,8,C2,NA
prep_excel_fe_worksheet,9,C2,NA
prep_excel_fe_worksheet,10,C4,6
prep_excel_fe_worksheet,11,C4,3.148148148
prep_excel_fe_worksheet,12,C4,9.357142857
prep_excel_fe_worksheet,13,C4,4.6
prep_excel_fe_worksheet,14,C4,4.421052632
prep_excel_fe_worksheet,15,C4,6.3125
prep_excel_fe_worksheet,16,C4,9.428571429
prep_finclip_plate,1,C2,NA
prep_finclip_plate,2,C2,NA
prep_finclip_plate,3,C2,NA
prep_finclip_plate,4,C2,NA
prep_finclip_plate,5,C2,NA
prep_finclip_plate,6,C2,NA
prep_finclip_plate,7,C4,30.5
prep_finclip_plate,8,C4,24.2962963
prep_finclip_plate,9,C4,21.28571429
prep_finclip_plate,10,C4,25.25
prep_finclip_plate,11,C4,21
prep_finclip_plate,12,C4,23.4375
prep_finclip_plate,13,C4,21.61904762
pre_prep_fish,1,C2,38.18181818
pre_prep_fish,2,C2,NA
pre_prep_fish,3,C2,31.25
pre_prep_fish,4,C2,NA
pre_prep_fish,5,C2,NA
pre_prep_fish,6,C2,NA
pre_prep_fish,7,C2,41.31578947
pre_prep_fish,8,C2,32.18181818
pre_prep_fish,9,C4,NA
pre_prep_fish,10,C4,32.76923077
pre_prep_fish,11,C4,25.71428571
pre_prep_fish,12,C4,NA
pre_prep_fish,13,C4,NA
pre_prep_fish,14,C4,NA
pre_prep_fish,15,C4,NA
pre_squeeze_setup,1,C2,NA
pre_squeeze_setup,2,C2,20.22916667
pre_squeeze_setup,3,C2,28.04166667
pre_squeeze_setup,4,C2,9.375
pre_squeeze_setup,5,C2,12.5
pre_squeeze_setup,6,C2,21.80487805
pre_squeeze_setup,7,C2,12.60416667
pre_squeeze_setup,8,C2,14.77777778
pre_squeeze_setup,9,C2,14.65909091
pre_squeeze_setup,10,C4,33
pre_squeeze_setup,11,C4,32.22222222
pre_squeeze_setup,12,C4,41.64285714
pre_squeeze_setup,13,C4,27.9
pre_squeeze_setup,14,C4,52.05263158
pre_squeeze_setup,15,C4,34.5
pre_squeeze_setup,16,C4,32.85714286
setup_workstation,1,C2,NA
setup_workstation,2,C2,12.27083333
setup_workstation,3,C2,16.95833333
setup_workstation,4,C2,20.625
setup_workstation,5,C2,12.5
